Company,Holder Name,Holder Type,Ownership (%),Share Class,Investment Series,Investment Date
OpenAI,Microsoft,Corporate,27.0,Common,"Series E, Series F",2024-10-15
OpenAI,OpenAI Foundation (Nonprofit),Foundation,26.0,Common,Restructuring Oct 2025,
OpenAI,Employees (Current & Former),Individual,25.0,Common,,
OpenAI,SoftBank,Corporate,10.0,Preferred,"Series E, Series F, Growth",2024-10-15
OpenAI,Thrive Capital,VC,4.0,Preferred,"Series E, Series F, Growth",2024-10-15
OpenAI,Sam Altman (CEO),Individual,1.5,Common,,
OpenAI,Tiger Global Management,VC,1.5,,Series E,2024-10-02
OpenAI,Amazon,Corporate,1.0,,Growth,2026-02-27
OpenAI,Dragoneer Investment Group,VC,1.0,,Series F,2025-03-31
OpenAI,Altimeter Capital,VC,0.8,,Series E,2024-10-02
OpenAI,MGX,Sovereign Wealth Fund,0.8,,Series E,2024-10-02
OpenAI,Sequoia Capital,VC,0.5,,Series E,2023-04-28
OpenAI,Andreessen Horowitz (a16z),VC,0.5,,Series E,2023-04-28
OpenAI,Fidelity Investments,Asset Manager,0.5,,Series E,2024-10-02
OpenAI,D1 Capital Partners,VC,0.5,,Series F,2025-03-31
OpenAI,Coatue Management,VC,0.5,,Series F,2025-03-31
OpenAI,NVIDIA,Corporate,0.5,,Growth,2026-02-27
OpenAI,Khosla Ventures,VC,0.5,Preferred,Series E,2024-10-15
OpenAI,Blackstone,Financial Institution,0.3,,Series F,2025-03-31
OpenAI,T. Rowe Price,Asset Manager,0.3,,Series F,2025-03-31
OpenAI,Founders Fund,VC,0.3,,Series E,2023-04-28
OpenAI,TPG,VC,0.3,,Series F,2025-03-31
